date,type,value
1984-03-01,uemp,699943.4079999999
1984-03-01,lf,7203171.909200001
1984-03-01,nilf,4520103.896
1984-03-01,pop_15yr_over,11723275.805200001
1984-04-01,emp,6477580.915800001
1984-04-01,uemp,675642.0894
1984-04-01,lf,7153223.0052000005
1984-04-01,nilf,4587136.2218
1984-04-01,pop_15yr_over,11740359.227
1984-05-01,emp,6489658.756
1984-05-01,uemp,635581.0604
1984-05-01,lf,7125239.8164
1984-05-01,nilf,4632238.1254
1984-05-01,pop_15yr_over,11757477.9418
1984-06-01,emp,6499023.601199999
1984-06-01,uemp,632454.1057
1984-06-01,lf,7131477.706900001
1984-06-01,nilf,4643148.1479
1984-06-01,pop_15yr_over,11774625.8548
1984-07-01,emp,6528696.8289
1984-07-01,uemp,594949.4850999999
1984-07-01,lf,7123646.313999999
1984-07-01,nilf,4668080.5906
1984-07-01,pop_15yr_over,11791726.9046
1984-08-01,emp,6466115.8231999995
1984-08-01,uemp,604011.6073
1984-08-01,lf,7070127.4305
1984-08-01,nilf,4738718.7481
1984-08-01,pop_15yr_over,11808846.1786
1984-09-01,emp,6579839.5541
1984-09-01,uemp,620770.8504
1984-09-01,lf,7200610.4045
1984-09-01,nilf,4625374.4632
1984-09-01,pop_15yr_over,11825984.867700001
1984-10-01,emp,6553187.0257
1984-10-01,uemp,578355.3454
1984-10-01,lf,7131542.3711
1984-10-01,nilf,4712735.7576
1984-10-01,pop_15yr_over,11844278.1287
1984-11-01,emp,6576061.818299999
1984-11-01,uemp,571179.4489
1984-11-01,lf,7147241.2672
1984-11-01,nilf,4715308.9145
1984-11-01,pop_15yr_over,11862550.1817
1984-12-01,emp,6636040.2174
1984-12-01,uemp,627392.2049
1984-12-01,lf,7263432.422300001
1984-12-01,nilf,4617562.1453
1984-12-01,pop_15yr_over,11880994.5676
1985-01-01,emp,6452361.507499999
1985-01-01,uemp,657733.7442000001
1985-01-01,lf,7110095.2517
1985-01-01,nilf,4790737.9559
1985-01-01,pop_15yr_over,11900833.207600001
1985-02-01,emp,6595664.192500001
1985-02-01,uemp,674141.4589
1985-02-01,lf,7269805.6514
1985-02-01,nilf,4650844.0407
1985-02-01,pop_15yr_over,11920649.6921
1985-03-01,emp,6657440.697699999
1985-03-01,uemp,672760.485
1985-03-01,lf,7330201.1827
1985-03-01,nilf,4610465.8739
1985-03-01,pop_15yr_over,11940667.056599999
1985-04-01,emp,6588826.7822
1985-04-01,uemp,615298.4664
1985-04-01,lf,7204125.2486000005
1985-04-01,nilf,4754005.7962
1985-04-01,pop_15yr_over,11958131.0448
1985-05-01,emp,6657932.7706
1985-05-01,uemp,609101.0240000001
1985-05-01,lf,7267033.7946
1985-05-01,nilf,4708516.5323
1985-05-01,pop_15yr_over,11975550.3269
1985-06-01,emp,6659362.512800001
1985-06-01,uemp,607593.455
1985-06-01,lf,7266955.9678
1985-06-01,nilf,4726186.2277
1985-06-01,pop_15yr_over,11993142.195500001
1985-07-01,emp,6703429.276
1985-07-01,uemp,566862.7267
1985-07-01,lf,7270292.0027
1985-07-01,nilf,4741967.2865
1985-07-01,pop_15yr_over,12012259.289199999
1985-08-01,emp,6675537.856799999
1985-08-01,uemp,572695.4476
1985-08-01,lf,7248233.3044
1985-08-01,nilf,4783088.482899999
1985-08-01,pop_15yr_over,12031321.7873
1985-09-01,emp,6814705.3585
1985-09-01,uemp,589229.9056
1985-09-01,lf,7403935.264099999
1985-09-01,nilf,4646614.2499
1985-09-01,pop_15yr_over,12050549.514
1985-10-01,emp,6771053.3584
1985-10-01,uemp,534784.6261
1985-10-01,lf,7305837.9845
1985-10-01,nilf,4767472.5926
1985-10-01,pop_15yr_over,12073310.5771
1985-11-01,emp,6881944.1952
1985-11-01,uemp,543094.9528
1985-11-01,lf,7425039.148
1985-11-01,nilf,4671032.3234
1985-11-01,pop_15yr_over,12096071.4714
1985-12-01,emp,6910839.231699999
1985-12-01,uemp,591121.2989
1985-12-01,lf,7501960.5306
1985-12-01,nilf,4617041.3584
1985-12-01,pop_15yr_over,12119001.888999999
1986-01-01,emp,6753619.7634
1986-01-01,uemp,624840.9548
1986-01-01,lf,7378460.7182
1986-01-01,nilf,4763140.6036
1986-01-01,pop_15yr_over,12141601.321800001
1986-02-01,emp,6861855.494
1986-02-01,uemp,665292.4183
1986-02-01,lf,7527147.9123
1986-02-01,nilf,4637016.232
1986-02-01,pop_15yr_over,12164164.1443
1986-03-01,emp,6961894.663299999
1986-03-01,uemp,642564.2953
1986-03-01,lf,7604458.9586000005
1986-03-01,nilf,4582481.023
1986-03-01,pop_15yr_over,12186939.9816
1986-04-01,emp,6997885.6450000005
1986-04-01,uemp,608653.9106000001
1986-04-01,lf,7606539.556
1986-04-01,nilf,4601293.716999999
